id,pred_caption1,pred_caption2,pred_caption3,pred_caption4
8,a sign on a pole on a street .,a street sign on a pole on a city street,a street sign on a pole on a street .,a street sign on a pole in front of a building .
9,a sign on a pole on a city street .,a sign on a pole on a street .,a sign on a pole on a city street,a sign on a pole on a street corner .
12,a person riding a bike down a snow covered road .,a person riding a bike on a snowy surface,a person riding a bike down a snow covered slope .,a person riding a bike down a snow covered street .
11,a man standing next to a stop sign .,a couple of people standing next to each other .,a man standing next to a street sign .,a couple of people standing next to a sign .
10,a clock tower in the middle of a city .,a clock tower in the middle of a street .,a large clock tower in the middle of a city .,a clock tower in the middle of a city street .
4,a rear view mirror on a car dashboard .,a car parked in a parking lot next to a car .,a car parked in a parking lot next to a tree .,a rear view mirror on a car dashboard
5,a group of people standing in front of a bus .,a group of people standing next to a bus .,a group of people standing around a bus .,a group of people standing in front of a bus
7,a close up of a keyboard and a mouse,a close up of a pair of scissors on a table,a close up of a pair of scissors on a desk,a close up of a pair of scissors in front of a keyboard
6,a close up of a stop sign in a field,a pair of scissors sitting on top of a piece of paper .,a pair of scissors sitting on top of a pile of grass .,a pair of scissors sitting on top of a piece of wood .
2,a desk with a laptop and a desktop computer .,a desk with a laptop and a desktop computer on it .,a desk with a laptop and a computer monitor .,a desk with a laptop and a computer on it
3,a bunch of bananas growing on a tree .,a bunch of green bananas growing on a tree .,a bunch of bananas growing on a tree,a bunch of bananas that are on a tree .
1,a street sign on the corner of a street,a street sign on a pole in front of a building .,a street sign on the corner of a street .,a street sign on the side of a road .
0,a person walking down a snow covered road .,a person walking down a snow covered street .,a person walking down a snow covered sidewalk .,a person walking down a snow covered road