id,pred_caption
8,a street sign on a pole on a city street
9,a sign on a pole on a street .
12,a person riding a bike on a snowy surface
11,a couple of people standing next to each other .
10,a clock tower in the middle of a street .
4,a car parked in a parking lot next to a car .
5,a group of people standing next to a bus .
7,a close up of a pair of scissors on a table
6,a pair of scissors sitting on top of a piece of paper .
2,a desk with a laptop and a desktop computer on it .
3,a bunch of green bananas growing on a tree .
1,a street sign on a pole in front of a building .
0,a person walking down a snow covered street .